cod_ibge_mun,nome_norm,uf
5200050,ABADIA DE GOIAS,GO
3100104,ABADIA DOS DOURADOS,MG
5200100,ABADIANIA,GO
3100203,ABAETE,MG
1500107,ABAETETUBA,PA
2300101,ABAIARA,CE
2900108,ABAIRA,BA
4100103,ABATIA,PR
4200051,ABDON BATISTA,SC
1500131,ABEL FIGUEIREDO,PA
4200101,ABELARDO LUZ,SC
3100302,ABRE CAMPO,MG
2600054,ABREU E LIMA,PE
1700251,ABREULANDIA,TO
3100401,ACAIACA,MG
2100055,ACAILANDIA,MA
2900306,ACAJUTIBA,BA
2300150,ACARAPE,CE
2300200,ACARAU,CE
4300034,ACEGUA,RS
2300309,ACOPIARA,CE
5100102,ACORIZAL,MT
1200013,ACRELANDIA,AC
5200134,ACREUNA,GO
3100500,ACUCENA,MG
3500105,ADAMANTINA,SP
5200159,ADELANDIA,GO
3500204,ADOLFO,SP
4100202,ADRIANOPOLIS,PR
2900355,ADUSTINA,BA
2600104,AFOGADOS DA INGAZEIRA,PE
2400307,AFONSO BEZERRA,RN
3200102,AFONSO CLAUDIO,ES
2100105,AFONSO CUNHA,MA
2600203,AFRANIO,PE
2600302,AGRESTINA,PE
2200103,AGRICOLANDIA,PI
4200200,AGROLANDIA,SC
4200309,AGRONOMICA,SC
1500347,AGUA AZUL DO NORTE,PA
5000203,AGUA CLARA,MS
3100708,AGUA COMPRIDA,MG
4200408,AGUA DOCE,SC
2100154,AGUA DOCE DO MARANHAO,MA
3200169,AGUA DOCE DO NORTE,ES
2900405,AGUA FRIA,BA
5200175,AGUA FRIA DE GOIAS,GO
5200209,AGUA LIMPA,GO
2400406,AGUA NOVA,RN
2600401,AGUA PRETA,PE
4300059,AGUA SANTA,RS
3100807,AGUANIL,MG
2600500,AGUAS BELAS,PE
3500402,AGUAS DA PRATA,SP
4200507,AGUAS DE CHAPECO,SC
3500501,AGUAS DE LINDOIA,SP
3500550,AGUAS DE SANTA BARBARA,SP
3500600,AGUAS DE SAO PEDRO,SP
3100906,AGUAS FORMOSAS,MG
4200556,AGUAS FRIAS,SC
5200258,AGUAS LINDAS DE GOIAS,GO
4200606,AGUAS MORNAS,SC
3101003,AGUAS VERMELHAS,MG
3500709,AGUDOS,SP
4100301,AGUDOS DO SUL,PR
3200136,AGUIA BRANCA,ES
2500205,AGUIAR,PB
1700301,AGUIARNOPOLIS,TO
3101102,AIMORES,MG
2900603,AIQUARA,BA
2300408,AIUABA,CE
3101201,AIURUOCA,MG
4300208,AJURICABA,RS
3101300,ALAGOA,MG
2500304,ALAGOA GRANDE,PB
2500403,ALAGOA NOVA,PB
2200251,ALAGOINHA DO PIAUI,PI
2900702,ALAGOINHAS,BA
3500758,ALAMBARI,SP
3101409,ALBERTINA,MG
2100204,ALCANTARA,MA
2300507,ALCANTARAS,CE
2500536,ALCANTIL,PB
5000252,ALCINOPOLIS,MS
2900801,ALCOBACA,BA
2100303,ALDEIAS ALTAS,MA
4300307,ALECRIM,RS
3200201,ALEGRE,ES
4300406,ALEGRETE,RS
2200277,ALEGRETE DO PIAUI,PI
4300455,ALEGRIA,RS
3101508,ALEM PARAIBA,MG
1500404,ALENQUER,PA
2400505,ALEXANDRIA,RN
5200308,ALEXANIA,GO
3101607,ALFENAS,MG
3200300,ALFREDO CHAVES,ES
3500808,ALFREDO MARCONDES,SP
3101631,ALFREDO VASCONCELOS,MG
4200705,ALFREDO WAGNER,SC
2500577,ALGODAO DE JANDAIRA,PB
2500601,ALHANDRA,PB
2600708,ALIANCA,PE
1700350,ALIANCA DO TOCANTINS,TO
2900900,ALMADINA,BA
1500503,ALMEIRIM,PA
3101706,ALMENARA,MG
2400604,ALMINO AFONSO,RN
4100400,ALMIRANTE TAMANDARE,PR
4300471,ALMIRANTE TAMANDARE DO SUL,RS
5200506,ALOANDIA,GO
3101805,ALPERCATA,MG
4300505,ALPESTRE,RS
3101904,ALPINOPOLIS,MG
5100250,ALTA FLORESTA,MT
1100015,ALTA FLORESTA D'OESTE,RO
3500907,ALTAIR,SP
1500602,ALTAMIRA,PA
2100402,ALTAMIRA DO MARANHAO,MA
4100459,ALTAMIRA DO PARANA,PR
2300606,ALTANEIRA,CE
3102001,ALTEROSA,MG
2600807,ALTINHO,PE
3501004,ALTINOPOLIS,SP
2100436,ALTO ALEGRE DO MARANHAO,MA
2100477,ALTO ALEGRE DO PINDARE,MA
1100379,ALTO ALEGRE DOS PARECIS,RO
5100300,ALTO ARAGUAIA,MT
4200754,ALTO BELA VISTA,SC
5100359,ALTO BOA VISTA,MT
3102050,ALTO CAPARAO,MG
2400703,ALTO DO RODRIGUES,RN
4300570,ALTO FELIZ,RS
5100409,ALTO GARCAS,MT
5200555,ALTO HORIZONTE,GO
3153509,ALTO JEQUITIBA,MG
2200301,ALTO LONGA,PI
5100508,ALTO PARAGUAI,MT
5200605,ALTO PARAISO DE GOIAS,GO
4100608,ALTO PARANA,PR
2100501,ALTO PARNAIBA,MA
4100707,ALTO PIQUIRI,PR
3102100,ALTO RIO DOCE,MG
3200359,ALTO RIO NOVO,ES
2300705,ALTO SANTO,CE
5100607,ALTO TAQUARI,MT
4100509,ALTONIA,PR
3501152,ALUMINIO,SP
1300029,ALVARAES,AM
3102209,ALVARENGA,MG
3501202,ALVARES FLORENCE,SP
3501301,ALVARES MACHADO,SP
3501400,ALVARO DE CARVALHO,SP
3501509,ALVINLANDIA,SP
3102308,ALVINOPOLIS,MG
1100346,ALVORADA D'OESTE,RO
3102407,ALVORADA DE MINAS,MG
2200459,ALVORADA DO GURGUEIA,PI
5200803,ALVORADA DO NORTE,GO
4100806,ALVORADA DO SUL,PR
1400027,AMAJARI,RR
5000609,AMAMBAI,MS
2100550,AMAPA DO MARANHAO,MA
4100905,AMAPORA,PR
2600906,AMARAJI,PE
4300638,AMARAL FERRADOR,RS
5200829,AMARALINA,GO
2200509,AMARANTE,PI
2100600,AMARANTE DO MARANHAO,MA
2901007,AMARGOSA,BA
1300060,AMATURA,AM
2901106,AMELIA RODRIGUES,BA
2901155,AMERICA DOURADA,BA
3501608,AMERICANA,SP
5200852,AMERICANO DO BRASIL,GO
3501707,AMERICO BRASILIENSE,SP
3501806,AMERICO DE CAMPOS,SP
4300646,AMETISTA DO SUL,RS
2300754,AMONTADA,CE
5200902,AMORINOPOLIS,GO
2800100,AMPARO DO SAO FRANCISCO,SE
3102506,AMPARO DO SERRA,MG
4101002,AMPERE,PR
2700201,ANADIA,AL
1500701,ANAJAS,PA
2100709,ANAJATUBA,MA
3502002,ANALANDIA,SP
1701002,ANANAS,TO
1500800,ANANINDEUA,PA
5201108,ANAPOLIS,GO
2100808,ANAPURUS,MA
5000708,ANASTACIO,MS
5000807,ANAURILANDIA,MS
2901304,ANDARAI,BA
4101101,ANDIRA,PR
2901353,ANDORINHA,BA
3102605,ANDRADAS,MG
3502101,ANDRADINA,SP
4300661,ANDRE DA ROCHA,RS
3102803,ANDRELANDIA,MG
3502200,ANGATUBA,SP
3102852,ANGELANDIA,MG
5000856,ANGELICA,MS
2601003,ANGELIM,PE
4200903,ANGELINA,SC
2901403,ANGICAL,BA
2200608,ANGICAL DO PIAUI,PI
1701051,ANGICO,TO
2400802,ANGICOS,RN
3300100,ANGRA DOS REIS,RJ
2901502,ANGUERA,BA
4101150,ANGULO,PR
5201207,ANHANGUERA,GO
3502309,ANHEMBI,SP
3502408,ANHUMAS,SP
5201306,ANICUNS,GO
2200707,ANISIO DE ABREU,PI
4201000,ANITA GARIBALDI,SC
4201109,ANITAPOLIS,SC
4300703,ANTA GORDA,RS
4101200,ANTONINA,PR
2300804,ANTONINA DO NORTE,CE
2200806,ANTONIO ALMEIDA,PI
2901700,ANTONIO CARDOSO,BA
3103009,ANTONIO DIAS,MG
2901809,ANTONIO GONCALVES,BA
5000906,ANTONIO JOAO,MS
2400901,ANTONIO MARTINS,RN
4101309,ANTONIO OLINTO,PR
4300802,ANTONIO PRADO,RS
3103108,ANTONIO PRADO DE MINAS,MG
3502606,APARECIDA D'OESTE,SP
5201405,APARECIDA DE GOIANIA,GO
5201454,APARECIDA DO RIO DOCE,GO
1701101,APARECIDA DO RIO NEGRO,TO
5001003,APARECIDA DO TABOADO,MS
3300159,APERIBE,RJ
3200508,APIACA,ES
5100805,APIACAS,MT
2100832,APICUM-ACU,MA
4201257,APIUNA,SC
2901957,APUAREMA,BA
4101408,APUCARANA,PR
2300903,APUIARES,CE
2800209,AQUIDABA,SE
5001102,AQUIDAUANA,MS
2301000,AQUIRAZ,CE
4201273,ARABUTA,SC
2500809,ARACAGI,PB
3103207,ARACAI,MG
2800308,ARACAJU,SE
3502754,ARACARIGUAMA,SP
2902054,ARACAS,BA
2301109,ARACATI,CE
2902005,ARACATU,BA
3502804,ARACATUBA,SP
3103306,ARACITABA,MG
3502903,ARACOIABA DA SERRA,SP
3200607,ARACRUZ,ES
3103405,ARACUAI,MG
5201702,ARAGARCAS,GO
5201801,ARAGOIANIA,GO
1701309,ARAGOMINAS,TO
1701903,ARAGUACEMA,TO
1702000,ARAGUACU,TO
5101001,ARAGUAIANA,MT
1702109,ARAGUAINA,TO
5101209,ARAGUAINHA,MT
5202155,ARAGUAPAZ,GO
3103504,ARAGUARI,MG
1702208,ARAGUATINS,TO
2100907,ARAIOSES,MA
5001243,ARAL MOREIRA,MS
2902203,ARAMARI,BA
4300851,ARAMBARE,RS
3503000,ARAMINA,SP
3503109,ARANDU,SP
3103603,ARANTINA,MG
3503158,ARAPEI,SP
2700300,ARAPIRACA,AL
1702307,ARAPOEMA,TO
3103702,ARAPONGA,MG
4101507,ARAPONGAS,PR
3103751,ARAPORA,MG
4101606,ARAPOTI,PR
5101258,ARAPUTANGA,MT
4201307,ARAQUARI,SC
4201406,ARARANGUA,SC
3503208,ARARAQUARA,SP
3503307,ARARAS,SP
2301257,ARARENDA,CE
4300877,ARARICA,RS
2301307,ARARIPE,CE
2601102,ARARIPINA,PE
3300209,ARARUAMA,RJ
2902252,ARATACA,BA
4300901,ARATIBA,RS
2301406,ARATUBA,CE
2902302,ARATUIPE,BA
4101804,ARAUCARIA,PR
3103900,ARAUJOS,MG
