uf_residencia,uf_upag,org_atuacao,grupo_nucleo,n_abono,mes_ref
,RJ,AGENCIA NAC PETROLEO GAS NAT BIOCOMBUSTI,,1,2025-12
,DF,AGENCIA NACIONAL DE AVIACAO CIVIL,,1,2025-12
,RJ,COMANDO DA MARINHA,,1,2025-12
,DF,DEPARTAMENTO DE POLICIA FEDERAL,,2,2025-12
,DF,INSTITUTO CHICO MENDES CONSERV.BIODIVER.,,1,2025-12
,DF,MINISTERIO DAS RELACOES EXTERIORES,,34,2025-12
AC,DF,ADVOCACIA-GERAL DA UNIAO,,8,2025-12
AC,DF,AGENCIA NACIONAL DE TELECOMUNICACOES,,1,2025-12
AC,AC,AGENCIA NACIONAL DE VIGILANCIA SANITARIA,,1,2025-12
AC,DF,COMANDO DA AERONAUTICA,,1,2025-12
AC,DF,COMANDO DO EXERCITO,,10,2025-12
AC,DF,CONTROLADORIA-GERAL DA UNIAO,,2,2025-12
AC,AC,DEPARTAMENTO DE POLICIA FEDERAL,,16,2025-12
AC,AC,DEPTO. DE POLICIA RODOVIARIA FEDERAL,,4,2025-12
AC,DF,FUND. INST. BRASIL. GEOG. E ESTATISTICA,,2,2025-12
AC,AC,FUNDACAO NACIONAL DE SAUDE,,6,2025-12
AC,DF,FUNDACAO NACIONAL DOS POVOS INDIGENAS,,2,2025-12
AC,DF,INST. BR. MEIO AMB. REC. NAT. RENOVAVEIS,,10,2025-12
AC,AC,INSTITUTO FEDERAL DO ACRE,IF,5,2025-12
AC,AC,INSTITUTO NAC. DE COLONIZ E REF AGRARIA,,59,2025-12
AC,DF,INSTITUTO NAC. DE COLONIZ E REF AGRARIA,,1,2025-12
AC,DF,INSTITUTO NACIONAL DE SEGURO SOCIAL,INSS,23,2025-12
AC,DF,MIN GESTAO E INOV EM SERV PUBLICOS,,1,2025-12
AC,AM,MINISTERIO CIENCIA TECNOLOGIA INOVA,,1,2025-12
AC,DF,MINISTERIO DA AGRICULTURA E PECUARIA,,3,2025-12
AC,AC,MINISTERIO DA AGRICULTURA E PECUARIA,,5,2025-12
AC,PA,MINISTERIO DA FAZENDA,FAZ,20,2025-12
AC,DF,MINISTERIO DA FAZENDA,FAZ,3,2025-12
AC,SP,MINISTERIO DA FAZENDA,FAZ,1,2025-12
AC,AC,MINISTERIO DA SAUDE,,97,2025-12
AC,DF,MINISTERIO DO TRABALHO E EMPREGO,,10,2025-12
AC,AM,SUPERINTENDENCIA ZONA FRANCA DE MANAUS,,2,2025-12
AC,AC,UNIVERSIDADE FEDERAL DO ACRE,UNIV,125,2025-12
AL,DF,ADVOCACIA-GERAL DA UNIAO,,12,2025-12
AL,DF,AGENCIA NACIONAL DE MINERACAO,,2,2025-12
AL,AL,AGENCIA NACIONAL DE VIGILANCIA SANITARIA,,1,2025-12
AL,DF,COMANDO DO EXERCITO,,4,2025-12
AL,DF,CONTROLADORIA-GERAL DA UNIAO,,1,2025-12
AL,AL,DEPARTAMENTO DE POLICIA FEDERAL,,31,2025-12
AL,AL,DEPARTAMENTO NAC.DE INFRAEST. DE TRANSP.,,5,2025-12
AL,SP,DEPARTAMENTO NAC.DE INFRAEST. DE TRANSP.,,1,2025-12
AL,AL,DEPTO. DE POLICIA RODOVIARIA FEDERAL,,21,2025-12
AL,SE,DEPTO. DE POLICIA RODOVIARIA FEDERAL,,1,2025-12
AL,AL,DEPTO. NACIONAL DE OBRAS CONTRA AS SECAS,,11,2025-12
AL,PE,FUND. INST. BRASIL. GEOG. E ESTATISTICA,,11,2025-12
AL,AL,FUNDACAO NACIONAL DE SAUDE,,24,2025-12
AL,DF,FUNDACAO NACIONAL DOS POVOS INDIGENAS,,10,2025-12
AL,RJ,FUNDACAO OSWALDO CRUZ,,1,2025-12
AL,DF,INST. BR. MEIO AMB. REC. NAT. RENOVAVEIS,,5,2025-12
AL,DF,INSTITUTO CHICO MENDES CONSERV.BIODIVER.,,3,2025-12
AL,DF,INSTITUTO DO PATR.HIST.E ART. NACIONAL,,1,2025-12
AL,AL,INSTITUTO FEDERAL DE ALAGOAS,IF,129,2025-12
AL,SC,INSTITUTO FEDERAL DE SANTA CATARINA,IF,1,2025-12
AL,AL,INSTITUTO NAC. DE COLONIZ E REF AGRARIA,,8,2025-12
AL,DF,INSTITUTO NACIONAL DE SEGURO SOCIAL,INSS,2,2025-12
AL,PE,INSTITUTO NACIONAL DE SEGURO SOCIAL,INSS,88,2025-12
AL,DF,MIN GESTAO E INOV EM SERV PUBLICOS,,5,2025-12
AL,AL,MINISTERIO DA AGRICULTURA E PECUARIA,,10,2025-12
AL,DF,MINISTERIO DA FAZENDA,FAZ,4,2025-12
AL,PE,MINISTERIO DA FAZENDA,FAZ,34,2025-12
AL,PR,MINISTERIO DA FAZENDA,FAZ,2,2025-12
AL,DF,MINISTERIO DA PREVIDENCIA SOCIAL,,1,2025-12
AL,AL,MINISTERIO DA SAUDE,,237,2025-12
AL,BA,MINISTERIO DA SAUDE,,1,2025-12
AL,DF,MINISTERIO DO TRABALHO E EMPREGO,,12,2025-12
AL,DF,MINISTERIO DOS TRANSPORTES,,1,2025-12
AL,AL,UNIVERSIDADE FEDERAL DE ALAGOAS,UNIV,372,2025-12
AL,RJ,UNIVERSIDADE FEDERAL DO RIO DE JANEIRO,UNIV,1,2025-12
AM,DF,ADVOCACIA-GERAL DA UNIAO,,9,2025-12
AM,DF,AGENCIA BRASILEIRA DE INTELIGENCIA,,3,2025-12
AM,DF,AGENCIA NAC. DE TRANSPORTES AQUAVIARIOS,,1,2025-12
AM,DF,AGENCIA NAC. DE TRANSPORTES TERRESTRES,,1,2025-12
AM,DF,AGENCIA NACIONAL DE AVIACAO CIVIL,,1,2025-12
AM,DF,AGENCIA NACIONAL DE MINERACAO,,4,2025-12
AM,DF,AGENCIA NACIONAL DE TELECOMUNICACOES,,7,2025-12
AM,AM,AGENCIA NACIONAL DE VIGILANCIA SANITARIA,,12,2025-12
AM,DF,COMANDO DA AERONAUTICA,,24,2025-12
AM,AM,COMANDO DA MARINHA,,10,2025-12
AM,DF,COMANDO DO EXERCITO,,42,2025-12
AM,DF,CONTROLADORIA-GERAL DA UNIAO,,1,2025-12
AM,AM,DEPARTAMENTO DE POLICIA FEDERAL,,22,2025-12
AM,RO,DEPARTAMENTO DE POLICIA FEDERAL,,1,2025-12
AM,RR,DEPARTAMENTO DE POLICIA FEDERAL,,1,2025-12
AM,SC,DEPARTAMENTO DE POLICIA FEDERAL,,1,2025-12
AM,AM,DEPARTAMENTO NAC.DE INFRAEST. DE TRANSP.,,13,2025-12
AM,RR,DEPTO. DE POLICIA RODOVIARIA FEDERAL,,1,2025-12
AM,AM,DEPTO. DE POLICIA RODOVIARIA FEDERAL,,3,2025-12
AM,PA,FUND. INST. BRASIL. GEOG. E ESTATISTICA,,5,2025-12
AM,AM,FUNDACAO NACIONAL DE SAUDE,,16,2025-12
AM,DF,FUNDACAO NACIONAL DOS POVOS INDIGENAS,,35,2025-12
AM,RJ,FUNDACAO OSWALDO CRUZ,,5,2025-12
AM,AM,FUNDACAO UNIVERSIDADE DO AMAZONAS,UNIV,360,2025-12
AM,DF,INST. BR. MEIO AMB. REC. NAT. RENOVAVEIS,,6,2025-12
AM,DF,INSTITUTO CHICO MENDES CONSERV.BIODIVER.,,1,2025-12
AM,AM,INSTITUTO FEDERAL DO AMAZONAS,IF,131,2025-12
AM,AM,INSTITUTO NAC. DE COLONIZ E REF AGRARIA,,47,2025-12
AM,DF,INSTITUTO NACIONAL DE SEGURO SOCIAL,INSS,53,2025-12
AM,DF,MIN GESTAO E INOV EM SERV PUBLICOS,,8,2025-12
AM,AM,MINISTERIO CIENCIA TECNOLOGIA INOVA,,158,2025-12
AM,AM,MINISTERIO DA AGRICULTURA E PECUARIA,,22,2025-12
