org_siape,cod_org,org_abono,grupo_nucleo,grupo_abono,metodo,score,n_ativos,grupo_consistente
MINISTERIO DA FAZENDA,17600,MINISTERIO DA FAZENDA,FAZ,FAZ,exato,100.0,20283,True
INSTITUTO NACIONAL DO SEGURO SOCIAL,57202,INSTITUTO NACIONAL DE SEGURO SOCIAL,INSS,INSS,fuzzy,97.14285714285714,18252,True
ESTADOS / MUNICIPIOS / EMPRESAS,99991,,,,sem_casamento,0.0,16664,
MINISTERIO DA SAUDE,25000,MINISTERIO DA SAUDE,,,exato,100.0,15245,True
UNIVERSIDADE FEDERAL DO RIO DE JANEIRO,26245,UNIVERSIDADE FEDERAL DO RIO DE JANEIRO,UNIV,UNIV,exato,100.0,11772,True
ADVOCACIA-GERAL DA UNIAO,40116,ADVOCACIA-GERAL DA UNIAO,,,exato,100.0,7308,True
UNIVERSIDADE FEDERAL DE MINAS GERAIS,26238,UNIVERSIDADE FEDERAL DE MINAS GERAIS,UNIV,UNIV,exato,100.0,6975,True
UNIVERSIDADE FEDERAL FLUMINENSE - RJ,26236,UNIVERSIDADE FEDERAL FLUMINENSE,UNIV,UNIV,fuzzy,100.0,6637,True
UNIVERSIDADE FEDERAL DE PERNAMBUCO,26242,UNIVERSIDADE FEDERAL DE PERNAMBUCO,UNIV,UNIV,exato,100.0,6195,True
UNIVERSIDADE FEDERAL DA PARAIBA,26240,UNIVERSIDADE FEDERAL DA PARAIBA,UNIV,UNIV,exato,100.0,5793,True
UNIVERSIDADE FEDERAL DO PARANA,26241,UNIVERSIDADE FEDERAL DO PARANA,UNIV,UNIV,exato,100.0,5709,True
MIN GESTAO E INOV EM SERV PUBLICOS,17500,MIN GESTAO E INOV EM SERV PUBLICOS,,,exato,100.0,5562,True
FUNDACAO UNIVERSIDADE DE BRASILIA,26271,FUNDACAO UNIVERSIDADE DE BRASILIA,UNIV,UNIV,exato,100.0,5449,True
MINISTERIO DA AGRICULTURA E PECUARIA,13300,MINISTERIO DA AGRICULTURA E PECUARIA,,,exato,100.0,5435,True
MINISTERIO DO TRABALHO E EMPREGO,33200,MINISTERIO DO TRABALHO E EMPREGO,,,exato,100.0,5422,True
UNIVERSIDADE FEDERAL DA BAHIA,26232,UNIVERSIDADE FEDERAL DA BAHIA,UNIV,UNIV,exato,100.0,5390,True
UNIVERSIDADE FEDERAL DE SANTA CATARINA,26246,UNIVERSIDADE FEDERAL DE SANTA CATARINA,UNIV,UNIV,exato,100.0,5317,True
UNIVERSIDADE FEDERAL DO CEARA,26233,UNIVERSIDADE FEDERAL DO CEARA,UNIV,UNIV,exato,100.0,5266,True
UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL,26244,UNIVERSIDADE FEDERAL DO RIO GRANDE,UNIV,UNIV,fuzzy,100.0,5218,True
UNIVERSIDADE FEDERAL DO RIO GRANDE DO NORTE,26243,UNIVERSIDADE FEDERAL DO RIO GRANDE,UNIV,UNIV,fuzzy,100.0,5108,True
UNIVERSIDADE FEDERAL DO PARA,26239,UNIVERSIDADE FEDERAL DO PARA,UNIV,UNIV,exato,100.0,5096,True
UNIVERSIDADE FEDERAL DE SAO PAULO,26262,UNIVERSIDADE FEDERAL DE SAO PAULO,UNIV,UNIV,exato,100.0,5023,True
FUNDACAO UNIVERSIDADE FEDERAL UBERLANDIA,26274,,UNIV,,sem_casamento,0.0,4662,
INSTITUTO FEDERAL DE SAO PAULO,26439,INSTITUTO FEDERAL DE SAO PAULO,IF,IF,exato,100.0,4567,True
FUNDACAO OSWALDO CRUZ,36201,FUNDACAO OSWALDO CRUZ,,,exato,100.0,4471,True
UNIVERSIDADE FEDERAL DE SANTA MARIA - RS,26247,UNIVERSIDADE FEDERAL DE SANTA MARIA,UNIV,UNIV,fuzzy,100.0,4286,True
UNIVERSIDADE FEDERAL DE GOIAS,26235,UNIVERSIDADE FEDERAL DE GOIAS,UNIV,UNIV,exato,100.0,4110,True
FUNDACAO INSTITUTO BRASILEIRO DE GEOGRAFIA E ESTATISTICA,45205,,IBGE,,sem_casamento,0.0,4078,
MINISTERIO DA PREVIDENCIA SOCIAL,33100,MINISTERIO DA PREVIDENCIA SOCIAL,,,exato,100.0,4072,True
INSTITUTO FEDERAL DO CEARA,26405,INSTITUTO FEDERAL DO CEARA,IF,IF,exato,100.0,3629,True
UNIVERSIDADE FEDERAL DO ESPIRITO SANTO,26234,UNIVERSIDADE FEDERAL DO ESPIRITO SANTO,UNIV,UNIV,exato,100.0,3552,True
UNIVERSIDADE TECNOLOGICA FEDERAL DO PARANA,26258,UNIVERSIDADE FEDERAL DO PARANA,UNIV,UNIV,fuzzy,100.0,3538,True
FUNDACAO UNIVERSIDADE FEDERAL DO MARANHAO,26272,FUNDACAO UNIVERSIDADE DO MARANHAO,UNIV,UNIV,fuzzy,100.0,3373,True
