org_siape,cod_org,n_ativos,grupo_nucleo,candidatos
ESTADOS / MUNICIPIOS / EMPRESAS,99991,16664,,MIN GESTAO E INOV EM SERV PUBLICOS (51) | UNIVERSIDADE FEDERAL DE VICOSA (47) | UNIVERSIDADE FED. SUL SUDESTE DO PARA (45)
FUNDACAO UNIVERSIDADE FEDERAL UBERLANDIA,26274,4662,UNIV,FUNDACAO UNIVERSIDADE FEDERAL DO ABC (89) | FUNDACAO UNIVERSIDADE FEDERAL DO PAMPA (87) | FUNDACAO UNIV. FEDERAL DE UBERLANDIA (86)
FUNDACAO INSTITUTO BRASILEIRO DE GEOGRAFIA E ESTATISTICA,45205,4078,IBGE,INSTITUTO BRASILEIRO DE MUSEUS (87) | FUND. INST. BRASIL. GEOG. E ESTATISTICA (74) | FUNDACAO OSORIO (70)
INSTITUTO BRASILEIRO DO MEIO AMBIENTE E RECURSOS NATURAIS RENOVAVEIS,40701,3186,,INSTITUTO BRASILEIRO DE MUSEUS (80) | MINISTERIO DO MEIO AMBIENTE (74) | INSTITUTO FEDERAL DO ACRE (65)
INSTITUTO NACIONAL DE COLONIZACAO E REFORMA AGRARIA,42201,2850,,INSTITUTO NAC. DE COLONIZ E REF AGRARIA (84) | INSTITUTO NACIONAL DE SEGURO SOCIAL (75) | INSTITUTO DO PATR.HIST.E ART. NACIONAL (64)
DEPARTAMENTO NACIONAL DE INFRAESTRUTURA DE TRANSPORTES,39252,2227,,DEPARTAMENTO NAC.DE INFRAEST. DE TRANSP. (77) | DEPARTAMENTO DE POLICIA FEDERAL (65) | AGENCIA NACIONAL DE AGUAS (61)
INSTITUTO CHICO MENDES DE CONSERVACAO DA BIODIVERSIDADE,44207,1984,,INSTITUTO CHICO MENDES CONSERV.BIODIVER. (71) | INSTITUTO FEDERAL DA BAHIA (63) | INSTITUTO FEDERAL DE GOIAS (63)
UNIVERSIDADE FEDERAL DO TRIANGULO MINEIRO,26254,1885,UNIV,UNIVERSIDADE FEDERAL DO ACRE (90) | UNIVERSIDADE FEDERAL DO PARA (90) | UNIVERSIDADE FED.DO TRIANGULO MINEIRO (90)
INSTITUTO FEDERAL SUL-RIO-GRANDENSE,26436,1798,,INSTITUTO FEDERAL SUL RIO-GRANDENSE (89) | INSTITUTO FEDERAL BAIANO (83) | INSTITUTO FEDERAL GOIANO (83)
FUNDACAO UNIVERSIDADE FEDERAL DE OURO PRETO,26277,1645,UNIV,FUNDACAO UNIV. FEDERAL DE OURO PRETO (91) | FUNDACAO UNIVERSIDADE FEDERAL DO ABC (89) | FUNDACAO UNIVERSIDADE FEDERAL DE PELOTAS (89)
CENTRO FEDERAL DE EDUCACAO TECNOLOGICA DE MINAS GERAIS,26257,1620,IF,INSTITUTO FEDERAL DE MINAS GERAIS (82) | UNIVERSIDADE FEDERAL DE MINAS GERAIS (78) | INSTITUTO FEDERAL DO SUL DE MINAS GERAIS (73)
FUNDACAO NACIONAL DO INDIO,30202,1610,,FUNDACAO NACIONAL DOS POVOS INDIGENAS (83) | FUNDACAO NACIONAL DE SAUDE (81) | FUNDACAO BIBLIOTECA NACIONAL (79)
