cod_ibge,sigla,nome,regiao,populacao,ano_ref_pop
11,RO,Rondônia,Norte,1751950,2025
12,AC,Acre,Norte,884372,2025
13,AM,Amazonas,Norte,4321616,2025
14,RR,Roraima,Norte,738772,2025
15,PA,Pará,Norte,8711196,2025
16,AP,Amapá,Norte,806517,2025
17,TO,Tocantins,Norte,1586859,2025
21,MA,Maranhão,Nordeste,7018211,2025
22,PI,Piauí,Nordeste,3384547,2025
23,CE,Ceará,Nordeste,9268836,2025
24,RN,Rio Grande do Norte,Nordeste,3455236,2025
25,PB,Paraíba,Nordeste,4164468,2025
26,PE,Pernambuco,Nordeste,9562007,2025
27,AL,Alagoas,Nordeste,3220848,2025
28,SE,Sergipe,Nordeste,2299425,2025
29,BA,Bahia,Nordeste,14870907,2025
31,MG,Minas Gerais,Sudeste,21393441,2025
32,ES,Espírito Santo,Sudeste,4126854,2025
33,RJ,Rio de Janeiro,Sudeste,17223547,2025
35,SP,São Paulo,Sudeste,46081801,2025
41,PR,Paraná,Sul,11890517,2025
42,SC,Santa Catarina,Sul,8187029,2025
43,RS,Rio Grande do Sul,Sul,11233263,2025
50,MS,Mato Grosso do Sul,Centro-Oeste,2924631,2025
51,MT,Mato Grosso,Centro-Oeste,3893659,2025
52,GO,Goiás,Centro-Oeste,7423629,2025
53,DF,Distrito Federal,Centro-Oeste,2996899,2025
