uf,cod_org,org,cod_orgsup,orgsup,grupo_nucleo,n_ativos,mes_ref
,40116,ADVOCACIA-GERAL DA UNIAO,-1,SEM INFORMACAO,,675,2025-12
,40106,ADVOCACIA-GERAL DA UNIAO,20101,PRESIDENCIA DA REPUBLICA,,5,2025-12
,44205,AGENCIA NACIONAL DE AGUAS,40211,MINISTERIO DO MEIO AMBIENTE,,97,2025-12
,52201,AGENCIA NACIONAL DE AVIACAO CIVIL,49100,MINISTERIO DE PORTOS E AEROPORTOS,,232,2025-12
,32200,AGENCIA NACIONAL DE ENERGIA ELETRICA,32000,MINISTERIO DE MINAS E ENERGIA,,160,2025-12
,32396,AGENCIA NACIONAL DE MINERACAO,32000,MINISTERIO DE MINAS E ENERGIA,,136,2025-12
,36208,AGENCIA NACIONAL DE SAUDE SUPLEMENTAR,25000,MINISTERIO DA SAUDE,,156,2025-12
,41231,AGENCIA NACIONAL DE TELECOMUNICACOES,40108,"MINISTERIO DA CIENCIA, TECNOLOGIA, INOVACOES E COMUNICACOES",,208,2025-12
,39251,AGENCIA NACIONAL DE TRANSPORTES AQUAVIARIOS,49100,MINISTERIO DE PORTOS E AEROPORTOS,,75,2025-12
,39250,AGENCIA NACIONAL DE TRANSPORTES TERRESTRES,49200,MINISTERIO DOS TRANSPORTES,,149,2025-12
,36207,AGENCIA NACIONAL DE VIGILANCIA SANITARIA,25000,MINISTERIO DA SAUDE,,224,2025-12
,20224,AGENCIA NACIONAL DO CINEMA,54100,MINISTERIO DA CULTURA,,62,2025-12
,32300,"AGENCIA NACIONAL DO PETROLEO, GAS NATURAL E BIOCOMBUSTIVEIS",32000,MINISTERIO DE MINAS E ENERGIA,,240,2025-12
,52233,AMAZONIA AZUL TECNOLOGIAS DE DEFESA S.A.,40105,MINISTERIO DA DEFESA,,9,2025-12
,35001,APEX-BRASIL,-1,SEM INFORMACAO,,1,2025-12
,25282,BANCO DO NORDESTE DO BRASIL,17000,MINISTERIO DA ECONOMIA,,2,2025-12
,45282,BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL,17000,MINISTERIO DA ECONOMIA,,7,2025-12
,21201,CAIXA DE FINANCIAMENTO IMOBILIARIO DA AERONAUTICA,40115,MINISTERIO DA DEFESA,,5,2025-12
,25220,CAIXA ECONOMICA FEDERAL,-1,SEM INFORMACAO,,1,2025-12
,99015,CAMARA DOS DEPUTADOS,-1,SEM INFORMACAO,,111,2025-12
,25211,CASA DA MOEDA DO BRASIL,17000,MINISTERIO DA ECONOMIA,,2,2025-12
,26256,CENTRO FEDERAL DE EDUCACAO TECNOLOGICA CELSO SUCKOW DA FONSECA,15000,MINISTERIO DA EDUCACAO,IF,157,2025-12
,24209,CENTRO NACIONAL DE TECNOLOGIA ELETRONICA AVANCADA S.A.,40108,"MINISTERIO DA CIENCIA, TECNOLOGIA, INOVACOES E COMUNICACOES",,3,2025-12
,21000,COMANDO DA AERONAUTICA,40115,MINISTERIO DA DEFESA,,246,2025-12
,70000,COMANDO DA MARINHA,40115,MINISTERIO DA DEFESA,,404,2025-12
,16000,COMANDO DO EXERCITO,40115,MINISTERIO DA DEFESA,,249,2025-12
,45203,COMISSAO DE VALORES MOBILIARIOS,17600,MINISTERIO DA FAZENDA,FAZ,97,2025-12
,40301,COMISSAO NACIONAL DE ENERGIA NUCLEAR,40108,"MINISTERIO DA CIENCIA, TECNOLOGIA, INOVACOES E COMUNICACOES",,206,2025-12
,22200,COMPANHIA NACIONAL DE ABASTECIMENTO,13100,MIN DO DESENV AGR E AGRIC FAMILIAR,,5,2025-12
