uf,grupo_nucleo,n_ativos,ano
CE,IF,2362,2014
PA,UNIV,6170,2014
PB,,3059,2014
RJ,,11435,2014
AP,,1705,2014
RR,UNIV,934,2014
,,164134,2014
MS,UNIV,4590,2014
MG,UNIV,22588,2014
DF,,2521,2014
GO,UNIV,4952,2014
SP,UNIV,6672,2014
MS,,1069,2014
,UNIV,22490,2014
DF,UNIV,4868,2014
MG,IF,6566,2014
RS,,5194,2014
MT,IF,1559,2014
GO,IF,1775,2014
CE,UNIV,5688,2014
GO,,2158,2014
PE,IF,2526,2014
PB,UNIV,9357,2014
PE,,3116,2014
CE,,2435,2014
PI,IF,3358,2014
AL,UNIV,3199,2014
ES,IF,2564,2014
RN,UNIV,5451,2014
MG,,4993,2014
SP,INSS,5202,2014
TO,,756,2014
MA,INSS,589,2014
RN,,841,2014
SC,UNIV,5775,2014
SC,,3073,2014
MT,UNIV,3320,2014
BA,UNIV,7668,2014
RS,IF,1839,2014
RO,,1298,2014
RS,UNIV,11707,2014
SE,,1236,2014
,INSS,12995,2014
RO,UNIV,1208,2014
RJ,IF,1879,2014
PA,IF,1734,2014
MA,IF,2122,2014
RJ,UNIV,17935,2014
AL,IF,1452,2014
RJ,INSS,2623,2014
PI,,1650,2014
,IBGE,3587,2014
PR,UNIV,9613,2014
SP,,7332,2014
PE,UNIV,8632,2014
AM,,1744,2014
PR,,2473,2014
RS,INSS,1684,2014
AM,UNIV,3135,2014
SE,UNIV,2803,2014
ES,,1227,2014
PA,,2126,2014
BA,IBGE,227,2014
BA,,7939,2014
RJ,IBGE,266,2014
PE,INSS,1105,2014
AC,IF,409,2014
SC,IF,1973,2014
BA,INSS,1707,2014
RN,IF,2313,2014
MT,INSS,325,2014
TO,IF,1039,2014
RO,IF,727,2014
RR,,760,2014
ES,IBGE,68,2014
PI,INSS,439,2014
MT,IBGE,67,2014
MS,INSS,277,2014
SP,IF,3158,2014
MG,INSS,2907,2014
AM,IF,1209,2014
PA,INSS,365,2014
MT,,1577,2014
ES,UNIV,3844,2014
SC,INSS,1286,2014
MA,,1689,2014
TO,UNIV,1772,2014
