uf,nome,regiao,lente,populacao,n_ativos,n_abono,A_raw,B_raw,A_pct,B_pct,quadrante,classe,gravidade,posicao,flags
CE,Ceará,Nordeste,nucleo,9302211,341,107,0.37,0.3138,11.5,84.6,deserto_critico,Deserto crítico,86.6,1,
PE,Pernambuco,Nordeste,nucleo,9583176,164,41,0.17,0.25,7.7,65.4,deserto_critico,Deserto crítico,78.8,2,
PA,Pará,Norte,nucleo,8756324,840,226,0.96,0.269,19.2,73.1,deserto_critico,Deserto crítico,76.9,3,
MG,Minas Gerais,Sudeste,nucleo,21460311,340,51,0.16,0.15,3.8,38.5,deserto_estavel,Deserto estável,67.4,4,
AL,Alagoas,Nordeste,nucleo,3221128,634,173,1.97,0.2729,50.0,76.9,presenca_em_risco,Presença em risco,63.4,5,
AC,Acre,Norte,nucleo,887794,283,91,3.19,0.3216,65.4,88.5,presenca_em_risco,Presença em risco,61.6,6,
PI,Piauí,Nordeste,nucleo,3392617,492,115,1.45,0.2337,34.6,53.8,deserto_critico,Deserto crítico,59.6,7,
MA,Maranhão,Nordeste,nucleo,7024557,846,129,1.2,0.1525,26.9,42.3,deserto_estavel,Deserto estável,57.7,8,
PR,Paraná,Sul,nucleo,11952456,890,119,0.74,0.1337,15.4,30.8,deserto_estavel,Deserto estável,57.7,8,
SC,Santa Catarina,Sul,nucleo,8312759,1592,393,1.92,0.2469,46.2,61.5,deserto_critico,Deserto crítico,57.6,10,
PB,Paraíba,Nordeste,nucleo,4182828,2453,791,5.86,0.3225,80.8,92.3,presenca_em_risco,Presença em risco,55.8,11,
RN,Rio Grande do Norte,Nordeste,nucleo,3463737,1070,283,3.09,0.2645,61.5,69.2,presenca_em_risco,Presença em risco,53.8,12,
SP,São Paulo,Sudeste,nucleo,46179008,493,32,0.11,0.0649,0.0,7.7,deserto_estavel,Deserto estável,53.8,12,
DF,Distrito Federal,Centro-Oeste,nucleo,3009996,5190,1872,17.24,0.3607,88.5,96.2,presenca_em_risco,Presença em risco,53.8,12,
RS,Rio Grande do Sul,Sul,nucleo,11233317,1382,207,1.23,0.1498,30.8,34.6,deserto_estavel,Deserto estável,51.9,15,
TO,Tocantins,Norte,nucleo,1595994,2855,1037,17.89,0.3632,96.2,100.0,presenca_em_risco,Presença em risco,51.9,15,
GO,Goiás,Centro-Oeste,nucleo,7495033,883,111,1.18,0.1257,23.1,26.9,deserto_estavel,Deserto estável,51.9,15,
AM,Amazonas,Norte,nucleo,4360926,1217,294,2.79,0.2416,57.7,57.7,presenca_em_risco,Presença em risco,50.0,18,
RR,Roraima,Norte,nucleo,761012,1361,426,17.88,0.313,92.3,80.8,presenca_em_risco,Presença em risco,44.2,19,
RJ,Rio de Janeiro,Sudeste,nucleo,17225410,2713,335,1.57,0.1235,38.5,23.1,deserto_estavel,Deserto estável,42.3,20,
MS,Mato Grosso do Sul,Centro-Oeste,nucleo,2946317,1105,194,3.75,0.1756,73.1,46.2,presenca_consolidada,Presença consolidada,36.6,21,
BA,Bahia,Nordeste,nucleo,14889472,2645,277,1.78,0.1047,42.3,15.4,deserto_estavel,Deserto estável,36.6,21,
MT,Mato Grosso,Centro-Oeste,nucleo,3950330,1038,119,2.63,0.1146,53.8,19.2,presenca_consolidada,Presença consolidada,32.7,23,
AP,Amapá,Norte,nucleo,809953,1550,350,19.14,0.2258,100.0,50.0,presenca_em_risco,Presença em risco,25.0,24,
ES,Espírito Santo,Sudeste,nucleo,4150692,1427,89,3.44,0.0624,69.2,3.8,presenca_consolidada,Presença consolidada,17.3,25,
RO,Rondônia,Norte,nucleo,1757338,726,51,4.13,0.0702,76.9,11.5,presenca_consolidada,Presença consolidada,17.3,25,
SE,Sergipe,Nordeste,nucleo,2307255,2288,126,9.92,0.0551,84.6,0.0,presenca_consolidada,Presença consolidada,7.7,27,
CE,Ceará,Nordeste,total,9302211,447,155,0.48,0.3468,11.5,92.3,deserto_critico,Deserto crítico,90.4,1,
PA,Pará,Norte,total,8756324,1109,309,1.27,0.2786,19.2,76.9,deserto_critico,Deserto crítico,78.8,2,
PE,Pernambuco,Nordeste,total,9583176,235,55,0.25,0.234,7.7,53.8,deserto_critico,Deserto crítico,73.0,3,
MG,Minas Gerais,Sudeste,total,21460311,437,65,0.2,0.1487,3.8,34.6,deserto_estavel,Deserto estável,65.4,4,
PI,Piauí,Nordeste,total,3392617,623,147,1.84,0.236,34.6,57.7,deserto_critico,Deserto crítico,61.6,5,
AL,Alagoas,Nordeste,total,3221128,810,223,2.51,0.2753,50.0,73.1,presenca_em_risco,Presença em risco,61.6,5,
SC,Santa Catarina,Sul,total,8312759,2053,529,2.47,0.2577,46.2,69.2,deserto_critico,Deserto crítico,61.5,7,
MA,Maranhão,Nordeste,total,7024557,1088,170,1.55,0.1562,25.0,42.3,deserto_estavel,Deserto estável,58.6,8,
AC,Acre,Norte,total,887794,374,114,4.21,0.3048,65.4,80.8,presenca_em_risco,Presença em risco,57.7,9,
PR,Paraná,Sul,total,11952456,1138,160,0.95,0.1406,15.4,30.8,deserto_estavel,Deserto estável,57.7,9,
PB,Paraíba,Nordeste,total,4182828,3172,1015,7.58,0.32,80.8,88.5,presenca_em_risco,Presença em risco,53.8,11,
RS,Rio Grande do Sul,Sul,total,11233317,1789,267,1.59,0.1492,30.8,38.5,deserto_estavel,Deserto estável,53.8,11,
