uf,grupo_nucleo,n_ativos,n_abono,nome_grupo,suprimido,B_raw
RO,INSS,120,37,INSS,False,0.3083
RO,FAZ,142,73,Fazenda (Receita Federal),False,0.5141
RO,IF,162,17,Institutos Federais,False,0.1049
RO,UNIV,1337,125,Universidades,False,0.0935
RO,IBGE,26,0,IBGE,False,0.0
AC,INSS,59,23,INSS,False,0.3898
AC,FAZ,50,24,Fazenda (Receita Federal),False,0.48
AC,IF,796,5,Institutos Federais,False,0.0063
AC,UNIV,1378,125,Universidades,False,0.0907
AC,IBGE,17,0,IBGE,False,0.0
AM,INSS,199,53,INSS,False,0.2663
AM,FAZ,277,69,Fazenda (Receita Federal),False,0.2491
AM,IF,1800,131,Institutos Federais,False,0.0728
AM,UNIV,3140,361,Universidades,False,0.115
AM,IBGE,42,0,IBGE,False,0.0
RR,INSS,59,19,INSS,False,0.322
RR,FAZ,87,55,Fazenda (Receita Federal),False,0.6322
RR,IF,763,41,Institutos Federais,False,0.0537
RR,UNIV,994,62,Universidades,False,0.0624
RR,IBGE,15,0,IBGE,False,0.0
PA,INSS,450,112,INSS,False,0.2489
PA,FAZ,471,126,Fazenda (Receita Federal),False,0.2675
PA,IF,2392,123,Institutos Federais,False,0.0514
PA,UNIV,7930,946,Universidades,False,0.1193
PA,IBGE,97,0,IBGE,False,0.0
AP,INSS,56,9,INSS,False,0.1607
AP,FAZ,67,70,Fazenda (Receita Federal),False,1.0448
AP,IF,685,7,Institutos Federais,False,0.0102
AP,UNIV,1105,0,Universidades,False,0.0
AP,IBGE,23,0,IBGE,False,0.0
TO,INSS,104,7,INSS,False,0.0673
TO,FAZ,42,11,Fazenda (Receita Federal),False,0.2619
TO,IF,1231,32,Institutos Federais,False,0.026
TO,UNIV,1968,42,Universidades,False,0.0213
TO,IBGE,31,0,IBGE,False,0.0
MA,INSS,472,107,INSS,False,0.2267
MA,FAZ,94,47,Fazenda (Receita Federal),False,0.5
MA,IF,3119,144,Institutos Federais,False,0.0462
MA,UNIV,3373,361,Universidades,False,0.107
MA,IBGE,82,0,IBGE,False,0.0
PI,INSS,336,87,INSS,False,0.2589
PI,FAZ,124,35,Fazenda (Receita Federal),False,0.2823
PI,IF,2614,73,Institutos Federais,False,0.0279
PI,UNIV,3156,392,Universidades,False,0.1242
PI,IBGE,65,0,IBGE,False,0.0
CE,INSS,780,176,INSS,False,0.2256
CE,FAZ,614,151,Fazenda (Receita Federal),False,0.2459
CE,IF,3625,157,Institutos Federais,False,0.0433
CE,UNIV,5815,894,Universidades,False,0.1537
CE,IBGE,120,0,IBGE,False,0.0
RN,INSS,258,63,INSS,False,0.2442
RN,FAZ,149,52,Fazenda (Receita Federal),False,0.349
RN,IF,2644,119,Institutos Federais,False,0.045
RN,UNIV,6252,7,Universidades,False,0.0011
RN,IBGE,66,0,IBGE,False,0.0
PB,INSS,308,104,INSS,False,0.3377
PB,FAZ,165,63,Fazenda (Receita Federal),False,0.3818
PB,IF,<5,5,Institutos Federais,True,
PB,UNIV,8669,1331,Universidades,False,0.1535
PB,IBGE,69,0,IBGE,False,0.0
