ano,uf,n_ativos,lente,populacao,A_raw,janela
2014,AC,1841,nucleo,790101.0,23.3,2014-2022
2015,AC,2005,nucleo,803513.0,24.95,2014-2022
2016,AC,2059,nucleo,816687.0,25.21,2014-2022
2017,AC,2151,nucleo,829619.0,25.93,2014-2022
2018,AC,2196,nucleo,869265.0,25.26,2014-2022
2019,AC,2219,nucleo,881935.0,25.16,2014-2022
2020,AC,2175,nucleo,894470.0,24.32,2014-2022
2021,AC,2175,nucleo,906876.0,23.98,2014-2022
2022,AC,2166,nucleo,,,2014-2022
2023,AC,2162,nucleo,,,2023-2025
2024,AC,2206,nucleo,880631.0,25.05,2023-2025
2025,AC,2301,nucleo,884372.0,26.02,2023-2025
2014,AL,5230,nucleo,3321730.0,15.74,2014-2022
2015,AL,5263,nucleo,3340932.0,15.75,2014-2022
2016,AL,5292,nucleo,3358963.0,15.75,2014-2022
2017,AL,5552,nucleo,3375823.0,16.45,2014-2022
2018,AL,5560,nucleo,3322820.0,16.73,2014-2022
2019,AL,5361,nucleo,3337357.0,16.06,2014-2022
2020,AL,5420,nucleo,3351543.0,16.17,2014-2022
2021,AL,5415,nucleo,3365351.0,16.09,2014-2022
2022,AL,5396,nucleo,,,2014-2022
2023,AL,4352,nucleo,,,2023-2025
2024,AL,4345,nucleo,3220104.0,13.49,2023-2025
2025,AL,4320,nucleo,3220848.0,13.41,2023-2025
2014,AM,4674,nucleo,3873743.0,12.07,2014-2022
2015,AM,5097,nucleo,3938336.0,12.94,2014-2022
2016,AM,5185,nucleo,4001667.0,12.96,2014-2022
2017,AM,5381,nucleo,4063614.0,13.24,2014-2022
2018,AM,5315,nucleo,4080611.0,13.03,2014-2022
2019,AM,5188,nucleo,4144597.0,12.52,2014-2022
2020,AM,5178,nucleo,4207714.0,12.31,2014-2022
2021,AM,5078,nucleo,4269995.0,11.89,2014-2022
2022,AM,5084,nucleo,,,2014-2022
2023,AM,5431,nucleo,,,2023-2025
2024,AM,5487,nucleo,4281209.0,12.82,2023-2025
2025,AM,5458,nucleo,4321616.0,12.63,2023-2025
2014,AP,1432,nucleo,750912.0,19.07,2014-2022
2015,AP,1448,nucleo,766679.0,18.89,2014-2022
2016,AP,1771,nucleo,782295.0,22.64,2014-2022
2017,AP,1920,nucleo,797722.0,24.07,2014-2022
2018,AP,2050,nucleo,829494.0,24.71,2014-2022
2019,AP,1979,nucleo,845731.0,23.4,2014-2022
2020,AP,1951,nucleo,861773.0,22.64,2014-2022
2021,AP,1939,nucleo,877613.0,22.09,2014-2022
2022,AP,1812,nucleo,,,2014-2022
2023,AP,1789,nucleo,,,2023-2025
2024,AP,1831,nucleo,802837.0,22.81,2023-2025
2025,AP,1936,nucleo,806517.0,24.0,2023-2025
2014,BA,9613,nucleo,15126371.0,6.36,2014-2022
2015,BA,9901,nucleo,15203334.0,6.51,2014-2022
2016,BA,10035,nucleo,15276566.0,6.57,2014-2022
2017,BA,10025,nucleo,15344447.0,6.53,2014-2022
2018,BA,10406,nucleo,14812617.0,7.03,2014-2022
2019,BA,9939,nucleo,14873064.0,6.68,2014-2022
2020,BA,9894,nucleo,14930634.0,6.63,2014-2022
2021,BA,9789,nucleo,14985284.0,6.53,2014-2022
2022,BA,9754,nucleo,,,2014-2022
2023,BA,10801,nucleo,,,2023-2025
2024,BA,11049,nucleo,14850513.0,7.44,2023-2025
2025,BA,10761,nucleo,14870907.0,7.24,2023-2025
2014,CE,9337,nucleo,8842791.0,10.56,2014-2022
2015,CE,9627,nucleo,8904459.0,10.81,2014-2022
2016,CE,10098,nucleo,8963663.0,11.27,2014-2022
2017,CE,10515,nucleo,9020460.0,11.66,2014-2022
2018,CE,10570,nucleo,9075649.0,11.65,2014-2022
2019,CE,9981,nucleo,9132078.0,10.93,2014-2022
2020,CE,9860,nucleo,9187103.0,10.73,2014-2022
2021,CE,9791,nucleo,9240580.0,10.6,2014-2022
2022,CE,9718,nucleo,,,2014-2022
2023,CE,11329,nucleo,,,2023-2025
2024,CE,11346,nucleo,9233656.0,12.29,2023-2025
2025,CE,11455,nucleo,9268836.0,12.36,2023-2025
2014,DF,6074,nucleo,2852372.0,21.29,2014-2022
2015,DF,6394,nucleo,2914830.0,21.94,2014-2022
2016,DF,6783,nucleo,2977216.0,22.78,2014-2022
2017,DF,6621,nucleo,3039444.0,21.78,2014-2022
2018,DF,6858,nucleo,2974703.0,23.05,2014-2022
2019,DF,6940,nucleo,3015268.0,23.02,2014-2022
2020,DF,6910,nucleo,3055149.0,22.62,2014-2022
2021,DF,6796,nucleo,3094325.0,21.96,2014-2022
2022,DF,6716,nucleo,,,2014-2022
2023,DF,13234,nucleo,,,2023-2025
2024,DF,13586,nucleo,2982818.0,45.55,2023-2025
2025,DF,14375,nucleo,2996899.0,47.97,2023-2025
2014,ES,7103,nucleo,3885049.0,18.28,2014-2022
2015,ES,7080,nucleo,3929911.0,18.02,2014-2022
2016,ES,7264,nucleo,3973697.0,18.28,2014-2022
2017,ES,7247,nucleo,4016356.0,18.04,2014-2022
2018,ES,7202,nucleo,3972388.0,18.13,2014-2022
2019,ES,7038,nucleo,4018650.0,17.51,2014-2022
2020,ES,6978,nucleo,4064052.0,17.17,2014-2022
2021,ES,6949,nucleo,4108508.0,16.91,2014-2022
2022,ES,6843,nucleo,,,2014-2022
2023,ES,7022,nucleo,,,2023-2025
2024,ES,6996,nucleo,4102129.0,17.05,2023-2025
2025,ES,7013,nucleo,4126854.0,16.99,2023-2025
2014,GO,7447,nucleo,6523222.0,11.42,2014-2022
2015,GO,7521,nucleo,6610681.0,11.38,2014-2022
2016,GO,7743,nucleo,6695855.0,11.56,2014-2022
2017,GO,7756,nucleo,6778772.0,11.44,2014-2022
2018,GO,7878,nucleo,6921161.0,11.38,2014-2022
2019,GO,7645,nucleo,7018354.0,10.89,2014-2022
2020,GO,7644,nucleo,7113540.0,10.75,2014-2022
2021,GO,7601,nucleo,7206589.0,10.55,2014-2022
2022,GO,7582,nucleo,,,2014-2022
2023,GO,7694,nucleo,,,2023-2025
2024,GO,7774,nucleo,7350483.0,10.58,2023-2025
2025,GO,7805,nucleo,7423629.0,10.51,2023-2025
2014,MA,5850,nucleo,6850884.0,8.54,2014-2022
2015,MA,6226,nucleo,6904241.0,9.02,2014-2022
2016,MA,6848,nucleo,6954036.0,9.85,2014-2022
2017,MA,7046,nucleo,7000229.0,10.07,2014-2022
2018,MA,7104,nucleo,7035055.0,10.1,2014-2022
2019,MA,7147,nucleo,7075181.0,10.1,2014-2022
2020,MA,7173,nucleo,7114598.0,10.08,2014-2022
2021,MA,7123,nucleo,7153262.0,9.96,2014-2022
2022,MA,7085,nucleo,,,2014-2022
2023,MA,7220,nucleo,,,2023-2025
2024,MA,7209,nucleo,7010960.0,10.28,2023-2025
2025,MA,7140,nucleo,7018211.0,10.17,2023-2025
2014,MG,32352,nucleo,20734097.0,15.6,2014-2022
2015,MG,32588,nucleo,20869101.0,15.62,2014-2022
2016,MG,33075,nucleo,20997560.0,15.75,2014-2022
2017,MG,33274,nucleo,21119536.0,15.76,2014-2022
2018,MG,33754,nucleo,21040662.0,16.04,2014-2022
2019,MG,32820,nucleo,21168791.0,15.5,2014-2022
2020,MG,32691,nucleo,21292666.0,15.35,2014-2022
2021,MG,32311,nucleo,21411923.0,15.09,2014-2022
2022,MG,32018,nucleo,,,2014-2022
2023,MG,37016,nucleo,,,2023-2025
2024,MG,37091,nucleo,21322691.0,17.4,2023-2025
2025,MG,38786,nucleo,21393441.0,18.13,2023-2025
2014,MS,5553,nucleo,2619657.0,21.2,2014-2022
2015,MS,5683,nucleo,2651235.0,21.44,2014-2022
2016,MS,5900,nucleo,2682386.0,22.0,2014-2022
2017,MS,6085,nucleo,2713147.0,22.43,2014-2022
2018,MS,6181,nucleo,2748023.0,22.49,2014-2022
2019,MS,6149,nucleo,2778986.0,22.13,2014-2022
2020,MS,6107,nucleo,2809394.0,21.74,2014-2022
2021,MS,6034,nucleo,2839188.0,21.25,2014-2022
2022,MS,5935,nucleo,,,2014-2022
2023,MS,6286,nucleo,,,2023-2025
2024,MS,6263,nucleo,2901895.0,21.58,2023-2025
2025,MS,6307,nucleo,2924631.0,21.57,2023-2025
2014,MT,5271,nucleo,3224357.0,16.35,2014-2022
2015,MT,5308,nucleo,3265486.0,16.25,2014-2022
2016,MT,5512,nucleo,3305531.0,16.68,2014-2022
2017,MT,5594,nucleo,3344544.0,16.73,2014-2022
2018,MT,5619,nucleo,3441998.0,16.32,2014-2022
2019,MT,5461,nucleo,3484466.0,15.67,2014-2022
2020,MT,5370,nucleo,3526220.0,15.23,2014-2022
2021,MT,5347,nucleo,3567234.0,14.99,2014-2022
2022,MT,5366,nucleo,,,2014-2022
2023,MT,5544,nucleo,,,2023-2025
2024,MT,5571,nucleo,3836399.0,14.52,2023-2025
2025,MT,5651,nucleo,3893659.0,14.51,2023-2025
2014,PA,8322,nucleo,8073924.0,10.31,2014-2022
2015,PA,8478,nucleo,8175113.0,10.37,2014-2022
2016,PA,9197,nucleo,8272724.0,11.12,2014-2022
2017,PA,10110,nucleo,8366628.0,12.08,2014-2022
2018,PA,10227,nucleo,8513497.0,12.01,2014-2022
2019,PA,10243,nucleo,8602865.0,11.91,2014-2022
2020,PA,10086,nucleo,8690745.0,11.61,2014-2022
2021,PA,9770,nucleo,8777124.0,11.13,2014-2022
2022,PA,9886,nucleo,,,2014-2022
2023,PA,11084,nucleo,,,2023-2025
2024,PA,11274,nucleo,8664306.0,13.01,2023-2025
2025,PA,11340,nucleo,8711196.0,13.02,2023-2025
2014,PB,10029,nucleo,3943885.0,25.43,2014-2022
2015,PB,9908,nucleo,3972202.0,24.94,2014-2022
2016,PB,9911,nucleo,3999415.0,24.78,2014-2022
2017,PB,9887,nucleo,4025558.0,24.56,2014-2022
2018,PB,9829,nucleo,3996496.0,24.59,2014-2022
2019,PB,9324,nucleo,4018127.0,23.2,2014-2022
2020,PB,9495,nucleo,4039277.0,23.51,2014-2022
2021,PB,9385,nucleo,4059905.0,23.12,2014-2022
2022,PB,9138,nucleo,,,2014-2022
2023,PB,9052,nucleo,,,2023-2025
2024,PB,9050,nucleo,4145040.0,21.83,2023-2025
2025,PB,9211,nucleo,4164468.0,22.12,2023-2025
2014,PE,12342,nucleo,9277727.0,13.3,2014-2022
2015,PE,12510,nucleo,9345173.0,13.39,2014-2022
2016,PE,12113,nucleo,9410336.0,12.87,2014-2022
2017,PE,12223,nucleo,9473266.0,12.9,2014-2022
2018,PE,12067,nucleo,9496294.0,12.71,2014-2022
2019,PE,11664,nucleo,9557071.0,12.2,2014-2022
2020,PE,11827,nucleo,9616621.0,12.3,2014-2022
2021,PE,11718,nucleo,9674793.0,12.11,2014-2022
2022,PE,11616,nucleo,,,2014-2022
