uf,nome,regiao,lente,populacao,n_ativos,n_ativos_base_b,n_abono,A_raw,B_raw,A_pct,B_pct,quadrante,classe,gravidade,posicao,flags
GO,Goiás,Centro-Oeste,exclusivos,7423629,768,768,187,1.03,0.2435,5.8,76.9,deserto_critico,Deserto crítico,85.6,1,
MA,Maranhão,Nordeste,exclusivos,7018211,648,648,154,0.92,0.2377,0.0,69.2,deserto_critico,Deserto crítico,84.6,2,
AL,Alagoas,Nordeste,exclusivos,3220848,408,408,130,1.27,0.3186,23.1,84.6,deserto_critico,Deserto crítico,80.8,3,
PB,Paraíba,Nordeste,exclusivos,4164468,542,542,167,1.3,0.3081,30.8,80.8,deserto_critico,Deserto crítico,75.0,4,
AC,Acre,Norte,exclusivos,884372,126,126,47,1.42,0.373,38.5,88.5,deserto_critico,Deserto crítico,75.0,4,
AM,Amazonas,Norte,exclusivos,4321616,518,518,122,1.2,0.2355,19.2,65.4,deserto_critico,Deserto crítico,73.1,6,
PA,Pará,Norte,exclusivos,8711196,1018,1018,238,1.17,0.2338,15.4,61.5,deserto_critico,Deserto crítico,73.0,7,
RN,Rio Grande do Norte,Nordeste,exclusivos,3455236,473,473,115,1.37,0.2431,34.6,73.1,deserto_critico,Deserto crítico,69.2,8,
RO,Rondônia,Norte,exclusivos,1751950,288,288,110,1.64,0.3819,61.5,92.3,presenca_em_risco,Presença em risco,65.4,9,
MT,Mato Grosso,Centro-Oeste,exclusivos,3893659,401,401,78,1.03,0.1945,5.8,34.6,deserto_estavel,Deserto estável,64.4,10,
AP,Amapá,Norte,exclusivos,806517,146,146,79,1.81,0.5411,73.1,100.0,presenca_em_risco,Presença em risco,63.4,11,
ES,Espírito Santo,Sudeste,exclusivos,4126854,533,533,117,1.29,0.2195,26.9,53.8,deserto_critico,Deserto crítico,63.4,11,
PI,Piauí,Nordeste,exclusivos,3384547,525,525,122,1.55,0.2324,50.0,57.7,presenca_em_risco,Presença em risco,53.8,13,
RR,Roraima,Norte,exclusivos,738772,161,161,74,2.18,0.4596,88.5,96.2,presenca_em_risco,Presença em risco,53.8,13,
SE,Sergipe,Nordeste,exclusivos,2299425,336,336,69,1.46,0.2054,46.2,38.5,deserto_estavel,Deserto estável,46.2,15,
CE,Ceará,Nordeste,exclusivos,9268836,1514,1514,327,1.63,0.216,57.7,50.0,presenca_em_risco,Presença em risco,46.2,15,
TO,Tocantins,Norte,exclusivos,1586859,177,177,18,1.12,0.1017,11.5,0.0,deserto_estavel,Deserto estável,44.2,17,
MS,Mato Grosso do Sul,Centro-Oeste,exclusivos,2924631,516,516,111,1.76,0.2151,69.2,46.2,presenca_consolidada,Presença consolidada,38.5,18,
BA,Bahia,Nordeste,exclusivos,14870907,2146,2146,328,1.44,0.1528,42.3,15.4,deserto_estavel,Deserto estável,36.6,19,
MG,Minas Gerais,Sudeste,exclusivos,21393441,3462,3462,562,1.62,0.1623,53.8,23.1,presenca_consolidada,Presença consolidada,34.7,20,
SP,São Paulo,Sudeste,exclusivos,46081801,7693,7693,1263,1.67,0.1642,65.4,26.9,presenca_consolidada,Presença consolidada,30.7,21,
PR,Paraná,Sul,exclusivos,11890517,2319,2319,381,1.95,0.1643,76.9,30.8,presenca_consolidada,Presença consolidada,26.9,22,
