uf,grupo_nucleo,n_ativos,n_abono,nome_grupo,suprimido,B_raw
RO,INSS,183,9,INSS,False,0.0492
RO,RFB,124,11,Receita Federal,False,0.0887
RO,IF,143,12,Institutos Federais,False,0.0839
RO,UNIV,246,19,Universidades,False,0.0772
RO,IBGE,30,0,IBGE,False,0.0
AC,INSS,73,22,INSS,False,0.3014
AC,RFB,51,19,Receita Federal,False,0.3725
AC,IF,49,16,Institutos Federais,False,0.3265
AC,UNIV,99,27,Universidades,False,0.2727
AC,IBGE,11,7,IBGE,False,0.6364
AM,INSS,287,67,INSS,False,0.2334
AM,RFB,222,58,Receita Federal,False,0.2613
AM,IF,257,56,Institutos Federais,False,0.2179
AM,UNIV,402,100,Universidades,False,0.2488
AM,IBGE,49,13,IBGE,False,0.2653
RR,INSS,333,87,INSS,False,0.2613
RR,RFB,227,67,Receita Federal,False,0.2952
RR,IF,263,88,Institutos Federais,False,0.3346
RR,UNIV,486,169,Universidades,False,0.3477
RR,IBGE,52,15,IBGE,False,0.2885
PA,INSS,202,46,INSS,False,0.2277
PA,RFB,155,43,Receita Federal,False,0.2774
PA,IF,187,58,Institutos Federais,False,0.3102
PA,UNIV,268,71,Universidades,False,0.2649
PA,IBGE,28,8,IBGE,False,0.2857
AP,INSS,402,88,INSS,False,0.2189
AP,RFB,247,59,Receita Federal,False,0.2389
AP,IF,309,61,Institutos Federais,False,0.1974
AP,UNIV,512,125,Universidades,False,0.2441
AP,IBGE,80,17,IBGE,False,0.2125
TO,INSS,685,255,INSS,False,0.3723
TO,RFB,460,149,Receita Federal,False,0.3239
TO,IF,619,227,Institutos Federais,False,0.3667
TO,UNIV,993,361,Universidades,False,0.3635
TO,IBGE,98,45,IBGE,False,0.4592
MA,INSS,207,35,INSS,False,0.1691
MA,RFB,133,21,Receita Federal,False,0.1579
MA,IF,179,24,Institutos Federais,False,0.1341
MA,UNIV,292,44,Universidades,False,0.1507
MA,IBGE,35,5,IBGE,False,0.1429
PI,INSS,110,23,INSS,False,0.2091
PI,RFB,87,18,Receita Federal,False,0.2069
PI,IF,80,18,Institutos Federais,False,0.225
PI,UNIV,193,53,Universidades,False,0.2746
PI,IBGE,22,<5,IBGE,True,
CE,INSS,87,26,INSS,False,0.2989
CE,RFB,44,13,Receita Federal,False,0.2955
CE,IF,75,21,Institutos Federais,False,0.28
CE,UNIV,119,41,Universidades,False,0.3445
CE,IBGE,16,6,IBGE,False,0.375
