ano,uf,n_ativos,lente,publicavel,populacao,A_raw,janela
2014,AC,1814,educacao,True,790101.0,22.96,2014-2022
2015,AC,1981,educacao,True,803513.0,24.65,2014-2022
2016,AC,2035,educacao,True,816687.0,24.92,2014-2022
2017,AC,2123,educacao,True,829619.0,25.59,2014-2022
2018,AC,2169,educacao,True,869265.0,24.95,2014-2022
2019,AC,2203,educacao,True,881935.0,24.98,2014-2022
2020,AC,2162,educacao,True,894470.0,24.17,2014-2022
2021,AC,2162,educacao,True,906876.0,23.84,2014-2022
2022,AC,2157,educacao,True,,,2014-2022
2023,AC,2053,educacao,True,,,2023-2025
2024,AC,2083,educacao,True,880631.0,23.65,2023-2025
2025,AC,2175,educacao,True,884372.0,24.59,2023-2025
2014,AL,4651,educacao,True,3321730.0,14.0,2014-2022
2015,AL,4689,educacao,True,3340932.0,14.04,2014-2022
2016,AL,4723,educacao,True,3358963.0,14.06,2014-2022
2017,AL,5011,educacao,True,3375823.0,14.84,2014-2022
2018,AL,5115,educacao,True,3322820.0,15.39,2014-2022
2019,AL,5048,educacao,True,3337357.0,15.13,2014-2022
2020,AL,5129,educacao,True,3351543.0,15.3,2014-2022
2021,AL,5144,educacao,True,3365351.0,15.29,2014-2022
2022,AL,5118,educacao,True,,,2014-2022
2023,AL,3906,educacao,True,,,2023-2025
2024,AL,3932,educacao,True,3220104.0,12.21,2023-2025
2025,AL,3912,educacao,True,3220848.0,12.15,2023-2025
2014,AM,4344,educacao,True,3873743.0,11.21,2014-2022
2015,AM,4776,educacao,True,3938336.0,12.13,2014-2022
2016,AM,4873,educacao,True,4001667.0,12.18,2014-2022
2017,AM,5065,educacao,True,4063614.0,12.46,2014-2022
2018,AM,5003,educacao,True,4080611.0,12.26,2014-2022
2019,AM,4974,educacao,True,4144597.0,12.0,2014-2022
2020,AM,4989,educacao,True,4207714.0,11.86,2014-2022
2021,AM,4906,educacao,True,4269995.0,11.49,2014-2022
2022,AM,4920,educacao,True,,,2014-2022
2023,AM,4958,educacao,True,,,2023-2025
2024,AM,4974,educacao,True,4281209.0,11.62,2023-2025
2025,AM,4940,educacao,True,4321616.0,11.43,2023-2025
2014,AP,1343,educacao,True,750912.0,17.88,2014-2022
2015,AP,1386,educacao,True,766679.0,18.08,2014-2022
2016,AP,1707,educacao,True,782295.0,21.82,2014-2022
2017,AP,1842,educacao,True,797722.0,23.09,2014-2022
2018,AP,1974,educacao,True,829494.0,23.8,2014-2022
2019,AP,1936,educacao,True,845731.0,22.89,2014-2022
2020,AP,1912,educacao,True,861773.0,22.19,2014-2022
2021,AP,1900,educacao,True,877613.0,21.65,2014-2022
2022,AP,1776,educacao,True,,,2014-2022
2023,AP,1656,educacao,True,,,2023-2025
2024,AP,1694,educacao,True,802837.0,21.1,2023-2025
2025,AP,1790,educacao,True,806517.0,22.19,2023-2025
2014,BA,7679,educacao,True,15126371.0,5.08,2014-2022
2015,BA,8065,educacao,True,15203334.0,5.3,2014-2022
2016,BA,8265,educacao,True,15276566.0,5.41,2014-2022
2017,BA,8274,educacao,True,15344447.0,5.39,2014-2022
2018,BA,8748,educacao,True,14812617.0,5.91,2014-2022
2019,BA,8633,educacao,True,14873064.0,5.8,2014-2022
2020,BA,8661,educacao,True,14930634.0,5.8,2014-2022
2021,BA,8616,educacao,True,14985284.0,5.75,2014-2022
2022,BA,8563,educacao,True,,,2014-2022
2023,BA,8621,educacao,True,,,2023-2025
2024,BA,8864,educacao,True,14850513.0,5.97,2023-2025
2025,BA,8615,educacao,True,14870907.0,5.79,2023-2025
2014,CE,8050,educacao,True,8842791.0,9.1,2014-2022
2015,CE,8377,educacao,True,8904459.0,9.41,2014-2022
2016,CE,8846,educacao,True,8963663.0,9.87,2014-2022
2017,CE,9256,educacao,True,9020460.0,10.26,2014-2022
2018,CE,9378,educacao,True,9075649.0,10.33,2014-2022
2019,CE,9140,educacao,True,9132078.0,10.01,2014-2022
2020,CE,9061,educacao,True,9187103.0,9.86,2014-2022
2021,CE,9042,educacao,True,9240580.0,9.79,2014-2022
2022,CE,8990,educacao,True,,,2014-2022
2023,CE,9858,educacao,True,,,2023-2025
2024,CE,9854,educacao,True,9233656.0,10.67,2023-2025
2025,CE,9941,educacao,True,9268836.0,10.73,2023-2025
2014,DF,5621,educacao,True,2852372.0,19.71,2014-2022
2015,DF,5940,educacao,True,2914830.0,20.38,2014-2022
2016,DF,6325,educacao,True,2977216.0,21.24,2014-2022
2017,DF,6245,educacao,True,3039444.0,20.55,2014-2022
2018,DF,6506,educacao,True,2974703.0,21.87,2014-2022
2019,DF,6717,educacao,True,3015268.0,22.28,2014-2022
2020,DF,6708,educacao,True,3055149.0,21.96,2014-2022
2021,DF,6616,educacao,True,3094325.0,21.38,2014-2022
2022,DF,6544,educacao,True,,,2014-2022
2023,DF,10030,educacao,True,,,2023-2025
2024,DF,9832,educacao,True,2982818.0,32.96,2023-2025
2025,DF,9890,educacao,True,2996899.0,33.0,2023-2025
2014,ES,6408,educacao,True,3885049.0,16.49,2014-2022
2015,ES,6422,educacao,True,3929911.0,16.34,2014-2022
2016,ES,6629,educacao,True,3973697.0,16.68,2014-2022
2017,ES,6664,educacao,True,4016356.0,16.59,2014-2022
2018,ES,6668,educacao,True,3972388.0,16.79,2014-2022
2019,ES,6669,educacao,True,4018650.0,16.6,2014-2022
2020,ES,6620,educacao,True,4064052.0,16.29,2014-2022
2021,ES,6528,educacao,True,4108508.0,15.89,2014-2022
2022,ES,6569,educacao,True,,,2014-2022
2023,ES,6443,educacao,True,,,2023-2025
2024,ES,6443,educacao,True,4102129.0,15.71,2023-2025
2025,ES,6480,educacao,True,4126854.0,15.7,2023-2025
2014,GO,6727,educacao,True,6523222.0,10.31,2014-2022
2015,GO,6834,educacao,True,6610681.0,10.34,2014-2022
2016,GO,7067,educacao,True,6695855.0,10.55,2014-2022
2017,GO,7045,educacao,True,6778772.0,10.39,2014-2022
2018,GO,7210,educacao,True,6921161.0,10.42,2014-2022
2019,GO,7192,educacao,True,7018354.0,10.25,2014-2022
2020,GO,7216,educacao,True,7113540.0,10.14,2014-2022
2021,GO,7192,educacao,True,7206589.0,9.98,2014-2022
2022,GO,7170,educacao,True,,,2014-2022
2023,GO,6894,educacao,True,,,2023-2025
2024,GO,7005,educacao,True,7350483.0,9.53,2023-2025
2025,GO,7037,educacao,True,7423629.0,9.48,2023-2025
2014,MA,5189,educacao,True,6850884.0,7.57,2014-2022
2015,MA,5589,educacao,True,6904241.0,8.1,2014-2022
2016,MA,6253,educacao,True,6954036.0,8.99,2014-2022
2017,MA,6449,educacao,True,7000229.0,9.21,2014-2022
2018,MA,6533,educacao,True,7035055.0,9.29,2014-2022
2019,MA,6685,educacao,True,7075181.0,9.45,2014-2022
2020,MA,6730,educacao,True,7114598.0,9.46,2014-2022
2021,MA,6694,educacao,True,7153262.0,9.36,2014-2022
2022,MA,6632,educacao,True,,,2014-2022
2023,MA,6549,educacao,True,,,2023-2025
2024,MA,6545,educacao,True,7010960.0,9.34,2023-2025
2025,MA,6492,educacao,True,7018211.0,9.25,2023-2025
2014,MG,29154,educacao,True,20734097.0,14.06,2014-2022
2015,MG,29498,educacao,True,20869101.0,14.13,2014-2022
2016,MG,30052,educacao,True,20997560.0,14.31,2014-2022
2017,MG,30317,educacao,True,21119536.0,14.35,2014-2022
2018,MG,30964,educacao,True,21040662.0,14.72,2014-2022
2019,MG,30910,educacao,True,21168791.0,14.6,2014-2022
2020,MG,30907,educacao,True,21292666.0,14.52,2014-2022
2021,MG,30676,educacao,True,21411923.0,14.33,2014-2022
2022,MG,30410,educacao,True,,,2014-2022
2023,MG,33519,educacao,True,,,2023-2025
2024,MG,33619,educacao,True,21322691.0,15.77,2023-2025
2025,MG,35324,educacao,True,21393441.0,16.51,2023-2025
2014,MS,5221,educacao,True,2619657.0,19.93,2014-2022
2015,MS,5381,educacao,True,2651235.0,20.3,2014-2022
2016,MS,5619,educacao,True,2682386.0,20.95,2014-2022
2017,MS,5812,educacao,True,2713147.0,21.42,2014-2022
2018,MS,5929,educacao,True,2748023.0,21.58,2014-2022
2019,MS,5964,educacao,True,2778986.0,21.46,2014-2022
2020,MS,5943,educacao,True,2809394.0,21.15,2014-2022
2021,MS,5887,educacao,True,2839188.0,20.73,2014-2022
2022,MS,5791,educacao,True,,,2014-2022
2023,MS,5826,educacao,True,,,2023-2025
2024,MS,5784,educacao,True,2901895.0,19.93,2023-2025
2025,MS,5791,educacao,True,2924631.0,19.8,2023-2025
2014,MT,4879,educacao,True,3224357.0,15.13,2014-2022
2015,MT,4938,educacao,True,3265486.0,15.12,2014-2022
2016,MT,5177,educacao,True,3305531.0,15.66,2014-2022
2017,MT,5266,educacao,True,3344544.0,15.75,2014-2022
2018,MT,5317,educacao,True,3441998.0,15.45,2014-2022
2019,MT,5226,educacao,True,3484466.0,15.0,2014-2022
2020,MT,5139,educacao,True,3526220.0,14.57,2014-2022
2021,MT,5131,educacao,True,3567234.0,14.38,2014-2022
2022,MT,5167,educacao,True,,,2014-2022
2023,MT,5161,educacao,True,,,2023-2025
2024,MT,5194,educacao,True,3836399.0,13.54,2023-2025
2025,MT,5250,educacao,True,3893659.0,13.48,2023-2025
2014,PA,7904,educacao,True,8073924.0,9.79,2014-2022
2015,PA,8080,educacao,True,8175113.0,9.88,2014-2022
2016,PA,8805,educacao,True,8272724.0,10.64,2014-2022
2017,PA,9674,educacao,True,8366628.0,11.56,2014-2022
2018,PA,9810,educacao,True,8513497.0,11.52,2014-2022
2019,PA,9907,educacao,True,8602865.0,11.52,2014-2022
2020,PA,9766,educacao,True,8690745.0,11.24,2014-2022
2021,PA,9471,educacao,True,8777124.0,10.79,2014-2022
2022,PA,9587,educacao,True,,,2014-2022
2023,PA,10021,educacao,True,,,2023-2025
2024,PA,10257,educacao,True,8664306.0,11.84,2023-2025
2025,PA,10322,educacao,True,8711196.0,11.85,2023-2025
2014,PB,9357,educacao,True,3943885.0,23.73,2014-2022
2015,PB,9253,educacao,True,3972202.0,23.29,2014-2022
2016,PB,9262,educacao,True,3999415.0,23.16,2014-2022
2017,PB,9268,educacao,True,4025558.0,23.02,2014-2022
2018,PB,9249,educacao,True,3996496.0,23.14,2014-2022
2019,PB,8925,educacao,True,4018127.0,22.21,2014-2022
2020,PB,9144,educacao,True,4039277.0,22.64,2014-2022
2021,PB,9059,educacao,True,4059905.0,22.31,2014-2022
2022,PB,8837,educacao,True,,,2014-2022
2023,PB,8494,educacao,True,,,2023-2025
2024,PB,8528,educacao,True,4145040.0,20.57,2023-2025
2025,PB,8669,educacao,True,4164468.0,20.82,2023-2025
2014,PE,11158,educacao,True,9277727.0,12.03,2014-2022
2015,PE,11356,educacao,True,9345173.0,12.15,2014-2022
2016,PE,10961,educacao,True,9410336.0,11.65,2014-2022
2017,PE,11117,educacao,True,9473266.0,11.74,2014-2022
2018,PE,11017,educacao,True,9496294.0,11.6,2014-2022
2019,PE,10868,educacao,True,9557071.0,11.37,2014-2022
2020,PE,11027,educacao,True,9616621.0,11.47,2014-2022
2021,PE,10989,educacao,True,9674793.0,11.36,2014-2022
2022,PE,10965,educacao,True,,,2014-2022
2023,PE,11380,educacao,True,,,2023-2025
2024,PE,11699,educacao,True,9539029.0,12.26,2023-2025
